range,content,summary,similarity
"[6631, 6632, 6633]","The gangway tube the dock had extended was a more elaborate version of the one he’d tumbled through to reach Haniwa, designed for use in the spindle’s rotation gravity. A corrugated tunnel, articulated by integral hydraulic members, each segment ringed with a loop of tough, nonslip plastic, the loops serving as the rungs of a ladder. The gangway had snaked its way around Haniwa; it was horizontal, where it joined Garvey’ s lock, but curved up sharply and to the left, a vertical climb around the curvature of the yacht’s hull.","Gangway tube the dock had extended is a more elaborate version of the one he'd tumbled through to reach Haniwa, designed for use in the spindle's rotation gravity. A corrugated tunnel, artic",0.83906674
"[719, 720, 721, 722, 723, 724, 725, 726, 727, 728]","One unit made it back to Helsinki, Case.” Case shrugged, sipped coffee. “You’re a console cowboy. The prototypes of the programs you use to crack industrial banks were developed for Screaming Fist. For the assault on the Kirensk computer nexus. Basic module was a Nightwing micro light, a pilot, a matrix deck, a jockey. We were running a virus called Mole. The Mole series was the first generation of real intrusion programs.” “Icebreakers,” Case said, over the rim of the red mug. “Ice from ICE, intrusion countermeasures electronics.”","Intrusion countermeasures electronics (ICE), intrusion programs (Mole) and icebreakers (ice from ICE, intrusion countermeasures electronics (ICE), intrusion programs (Mole) and icebreakers (",0.7183076
"[6222, 6223, 6224, 6225, 6226, 6227]","But this was a view. A dark wave of rubble rose against a colorless sky, beyond its crest the bleached, half-melted skeletons of city towers. The rubble wave was textured like a net, rusting steel rods twisted gracefully as fine string, vast slabs of concrete still clinging there. The foreground might once have been a city square; there was a sort of stump, something that suggested a fountain. Atitsbase,thechildrenandthesoldierwerefrozen.Thetableauwasconfusingatfirst. Molly must have read it correctly before Case had quite assimilated it, because he felt her tense.","Method for producing a tableau with children and a soldier in a ruined city at the base of a frozen wave of rubble rising against a colorless sky beyond whose crest the bleached, half-melted skeletons of",0.63215744
"[3819, 3820, 3821]",“Stimulants. Central nervous system stimulants. Extremely powerful central nervous system stimulants.”,"Stimulants, pharmaceutical compositions and methods of use thereof",0.62849814
"[327, 328, 329, 330, 331, 332, 333, 334]","She brought an oblong box from beneath the counter. The lid was yellow cardboard, stamped with a crude image of a coiled cobra with a swollen hood. Inside were eight identical tissue-wrapped cylinders. He watched while mottled brown fingers stripped the paper from one. She held the thing up for him to examine, a dull steel tube with a leather thong at one end and a small bronze pyramid at the other. She gripped the tube with one hand, the pyramid between her other thumb and forefinger, and pulled. Three oiled, telescoping segments of tightly wound coil spring slid out and locked. “Cobra,” she said.",Mechanical cobra,0.6049143
"[1107, 1108, 1109]","Afterimage of a single hair-fine line of red light. Seared concrete beneath the thin soles of his shoes. Her white sneakers flashing, close to the curving wall now and again the ghost line of the laser branded across his eye, bobbing in his vision as he ran.",Apparatus and method for generating an afterimage of a single hair-fine line of red light,0.5910232
"[3910, 3911, 3912, 3913, 3914, 3915]","The lights dimmed. “Le Restaurant Vingtieme Siecle,” said a disembodied voice with a pronounced Sprawl accent, “proudly presents the holographic cabaret of Mr. Peter Riviera.” Scattered applause from the other tables. A waiter lit a single candle and placed it in the center of their table, then began to remove the dishes. Soon a candle flickered at each of the restaurant’s dozen tables, and drinks were being poured. “What’s happening?” Case asked Armitage, who said nothing.","Methods, systems, and apparatus, including computer programs encoded on a computer-readable storage medium, for holographic cabaret. In some implementations, a method includes determining, by one or more processing devices, a plurality",0.5564885
"[451, 452, 453]","You reached it through an alley off Baiitsu, where an elevator waited at the foot of a transparent shaft. The elevator, like Cheap Hotel, was an afterthought, lashed to the building with bamboo and epoxy. Case climbed into the plastic cage and used his key, an unmarked length of rigid magnetic tape.",Elevator to nowhere,0.5526749
"[6672, 6673, 6674, 6675]",“Is this a test? It’s a loyalty check. It must be a loyalty check.” He wiped the palms of his hands on the thighs of his orange suit.,Method and apparatus for performing a loyalty check,0.5457878
"[7551, 7552, 7553, 7554, 7555]","“Wintermute managed to get it stuck in the back of a drawer,” Molly said, carefully inserting the Chubb key’s cylindrical shaft into the notched opening in the face of the blank, rectangular door. “He killed the little kid who put it there.” The key rotated smoothly when she tried it. “The head,” Case said, “there’s a panel in the back of the head. Zircons on it.","Chubb key with zirconia inserts
Summarize the content into a title:
A chubb key with zirconia inserts is disclosed herein. The chubb key includes a body",0.5242313
"[1068, 1069, 1070, 1071]","Reflected colors flowed across Molly’s lenses as the men circled. The holograms were ten-power magnifications; at ten, the knives they held were just under a meter long. The knife-fighter’s grip is the fencer’s grip, Case remembered, the fingers curled, thumb aligned with blade. The knives seemed to move of their own accord, gliding with a ritual lack of urgency through the arcs and passes of their dance, point passing point, as the men waited for an opening.",Method and apparatus for fighting with knives,0.5238271
"[3979, 3980, 3981, 3982, 3983]","The fingers moved. Riviera raised the hand to his mouth and began to lick the tips of the fingers. The nails were coated with a burgundy lacquer. A hand, Case saw, but not a severed hand; the skin swept back smoothly, unbroken and unscarred. He remembered a tattooed lozenge of vatgrown flesh in the window of a Ninsei surgical boutique.",Case of the disembodied hand,0.5156878
"[46, 47, 48, 49]","All the speed he took, all the turns he’d taken and the corners he’d cut in Night City, and still he’d see the matrix in his sleep, bright lattices of logic unfolding across that colorless void… The Sprawl was a long strange way home over the Pacific now, and he was no console man, no cyberspace cowboy. Just another hustler, trying to make it through. But the dreams came on in the Japanese night like live wire voodoo and he’d cry for it, cry in his sleep, and wake alone in the dark, curled in his capsule in some coffin hotel, his hands clawed into the bedslab, temper foam bunched between his fingers, trying to reach the console that wasn’t there.",Cyberpunk 2077: A Novel Based on the Video Game by Mike,0.510221
"[2333, 2334, 2335, 2336]","He robbed a bank in Wichita. The record grew vague, shadowy, the gaps longer. One day, he said, in a taped segment that suggested chemical interrogation, everything had gone gray. Translated French medical records explained that a man without identification had been taken to a Paris mental health unit and diagnosed as schizophrenic.",Bank robbery in Wichita,0.5010872
"[3692, 3693, 3694, 3695, 3696, 3697]","“What is this thing?” he asked the Hosaka. “Parcel for me.” “Data transfer from Bockris Systems GmbH, Frankfurt, advises, under coded transmission, that content of shipment is Kuang Grade Mark Eleven penetration program. Bockris further advises that interface with Ono-Sendai Cyberspace 7 is entirely compatible and yields optimal penetration capabilities, particularly with regard to existing military systems…” “How about an AI?” “Existing military systems and artificial intelligences.”",Penetration program for Kuang Grade Mark Eleven penetration system,0.49470866
"[5064, 5065, 5066, 5067, 5068, 5069, 5070, 5071]","“Here,” the Finn said. “This is it.” They floated in the center of a perfectly square room, walls and ceiling paneled in rectangular sections of dark wood. The floor was covered by a single square of brilliant carpet patterned after a microchip, circuits traced in blue and scarlet wool. In the exact center of the room, aligned precisely with the carpet pattern, stood a square pedestal of frosted white glass. “The Villa Straylight,” said a jeweled thing on the pedestal, in a voice like music, “is a body grown in upon itself, a Gothic folly. Each space in Straylight is in some way secret, this endless series of chambers linked by passages, by stairwells vaulted like intestines, where the eye is trapped in narrow curves, carried past ornate screens, empty alcoves…” “Essay of 3Jane’s,” the Finn said, producing his Partagas.",Villa Straylight,0.48393536
"[16, 17, 18, 19, 20, 21]","The antique arm whined as he reached for another mug. It was a Russian military prosthesis, a seven-function force-feedback manipulator, cased in grubby pink plastic. “You are too much the artiste, Herr Case.” Ratz grunted; the sound served him as laughter. He scratched his overhang of white-shirted belly with the pink claw. “You are the artiste of the slightly funny deal.”","Apparatus, method, and computer program product for determining an artiste of the slightly funny deal",0.48115838
"[3566, 3567, 3568, 3569]","A wasp shot from the nest and circled Case’s head. Case pressed the ignition switch, counted three, and pulled the trigger. The fuel, pumped up to l00 psi, sprayed out past the white-hot coil. A five-meter tongue of pale fire, the nest charring, tumbling.",Method and apparatus for exterminating wasps,0.47565234
"[3369, 3370, 3371, 3372]","The grip had been built up with layers of masking tape. The tape was old, brown, shiny with a patina of dirt. He flipped the cylinder out and examined each of the six cartridges. They were handloads.",Gunshot residue on a firearms examiner's glove,0.47415596
"[5142, 5143, 5144, 5145, 5146]","The low, vaulted hallway was lined with dozens of museum cases, archaic-looking glass-fronted boxes made of brown wood. They looked awkward there, against the organic curves of the hallway’s walls, as though they’d been brought in and set up in a line for some forgotten purpose. Dull brass fixtures held globes of white light at ten-meter intervals. The floor was uneven, and as she set off along the corridor, Case realized that hundreds of small rugs and carpets had been put down at random. In some places, they were six deep, the floor a soft patchwork of handwoven wool.","Methods, systems, and computer-readable media for providing a museum of unnatural history",0.4701916
"[4257, 4258, 4259, 4260, 4261]",She returned his chip. An elevator slid open behind her. The corridor lights were blue. Case stepped out of the elevator and chose a direction at random. Numbered doors.,"Case of the disappearing elevator, or, how I learned to stop worrying and love the elevator",0.4577342
"[4247, 4248, 4249, 4250, 4251, 4252, 4253, 4254, 4255]","“I want a cubicle,” he said to the girl who sat at the low desk, a terminal on her lap. “Lower level.” He handed her his chip. “Gender preference?” She passed the chip across a glass plate on the face of the terminal. “Female,” he said automatically. “Number thirty-five. Phone if it isn’t satisfactory. You can access our special services display beforehand, if you like.”",Method and apparatus for facilitating an interaction between a user and a cubicle,0.4481756
"[3366, 3367]",Case stepped around the broad steel desk and pushed Deane’s chair out of the way. He found the gun in a cracked leather holster fastened beneath the desk with silver tape.,Method and apparatus for securing a firearm,0.4355044
"[5984, 5985, 5986]","The Braun drone was perched on her shoulder, its tiny manipulators, like padded surgical clips, secure in the polycarbon of the Modern suit. The walls here were raw steel, striped with rough brown ribbons of epoxy where some kind of covering had been ripped away. She’d hidden from a work crew, crouching, the fletcher cradled in her hands, her suit steel-gray, while the two slender Africans and their balloon-tired workcart passed.","Methods, systems, and apparatuses for using drones, robots, and cyborgs in a post-apocalyptic world",0.431006
"[466, 467, 468, 469, 470, 471, 472, 473, 474, 475, 476]","The expansion-grate catwalk vibrated with his weight as he edged his way along the third tier to Number 92. The coffins were three meters long, the oval hatches a meter wide and just under a meter and a half tall. He fed his key into the slot and waited for verification from the house computer. Magnetic bolts thudded reassuringly and the hatch rose vertically with a creak of springs. Fluorescents flickered on as he crawled in, pulling the hatch shut behind him and slapping the panel that activated the manual latch. There was nothing in Number 92 but a standard Hitachi pocket computer and a small white styrofoam cooler chest. The cooler contained the remains of three ten-kilo slabs of dry ice carefully wrapped in paper to delay evaporation, and a spun aluminum lab flask. Crouching on the brown temper foam slab that was both floor and bed, Case took Shin’s .22 from his pocket and put it on top of the cooler. Then he took off his jacket. The coffin’s terminal was molded into one concave wall, opposite a panel listing house rules in seven languages. Case took the pink handset from its cradle and punched a Hongkong number from memory.","Methods, systems, and apparatus, including computer programs encoded on a computer storage medium, for dead man's dilemma; or, how I learned to stop worrying and love the zombie apocalypse. In accord",0.43099725
"[5285, 5286, 5287, 5288, 5289, 5290]","The third, which was deeper, contained dull beads of solder and a small brown thing that looked like a human fingerbone. The fourth drawer held a damp-swollen copy of an obsolete technical manual in French and Japanese. In the fifth, behind the armored gauntlet of a heavy vacuum suit, she found the key. It was like a dull brass coin with a short hollow tube braised against one edge. She turned it slowly in her hand and Case saw that the interior of the tube was lined with studs and flanges. The letters CHUBB were molded across one face of the coin.",Safe deposit box key,0.42455116
"[6251, 6252]","Case noticed the music then. A music he didn’t know, all horns and piano.",Method and apparatus for determining whether a user is listening to music,0.39845014
"[3560, 3561, 3562, 3563, 3564]","Drunk, Case rummaged in the sour closet for Rollo’s dragon. Rollo was Marlene’s previous—and, Case suspected at the time, still occasional—boyfriend, an enormous Frisco biker with a blond lightning bolt bleached into his dark crewcut. The dragon was a Frisco flamethrower, a thing like a fat anglehead flashlight. Case checked the batteries, shook it to make sure he had enough fuel, and went to the open window. The hive began to buzz.",Apparatus and method for locating a missing dragon,0.39055005
"[6682, 6683, 6684, 6685, 6686, 6687, 6688, 6689, 6690, 6691]","They came to another monitor, an antique Sony, this one mounted above a console with a keyboard and a complex array of jack panels. The screen lit as they halted, the Finn grinning tensely out at them from what seemed to be the front room of Metro Holografix. “Okay,” he said, “Maelcum takes this guy down the corridor to the open locker door, sticks him in there, I’ll lock it. Case, you want the fifth socket from the left, top panel. There’s adapter plugs in the cabinet under the console. Needs Ono-Sendai twenty-point into Hitachi forty.” As Maelcum nudged his captive along, Case knelt and fumbled through an assortment of plugs, finally coming up with the one he needed. With his deck jacked into the adapter, he paused. “Do you have to look like that, man?” he asked the face on the screen. The Finn was erased a line at a time by the image of Lonny Zone against a wall of peeling Japanese posters.",Method and apparatus for providing a holographic user interface,0.38652372
"[5252, 5253, 5254, 5255, 5256, 5257, 5258]","She closed her eyes and there was a click that Case felt rather than heard. It made him remember the magnetic locks on the door of her cubicle in the puppet place. The door had opened for him, even though he’d had the wrong chip. That was Wintermute, manipulating the lock the way it had manipulated the drone micro and the robot gardener. The lock system in the puppet place had been a subunit of Freeside’s security system. The simple mechanical lock here would pose a real problem for the AI, requiring either a drone of some kind or a human agent. She opened her eyes, put the pick back into the chamois, carefully rerolled it, and tucked it back into its pocket.",Method and apparatus for securing a lock,0.3753097
"[2498, 2499, 2500, 2501, 2502, 2503, 2504, 2505]","“I want to know about the implants,” she said, massaging her thigh, “I want to know exactly what he can do.” Terzibashjian nodded. “Worst is how you say in Ingiliz, the subliminals.” He made the word four careful syllables. “On our left,” said the Mercedes, as it steered through a maze of rainy streets, “is Kapali Carsi, the grand bazaar.” Beside Case, the Finn made an appreciative noise, but he was looking in the wrong direction. The right side of the street was lined with miniature scrapyards. Case saw a gutted locomotive atop rust-stained, broken lengths of fluted marble.","Techno-fetishism and transhumanism in William Gibson's Neuromancer (1984), Count Zero (1986), and Mona Lisa Overdrive (1988)",0.37398526
"[4562, 4563, 4564, 4565]","While he watched the loser’s zodiac of Freeside, the nightclub constellations of the hologram sky, shift, sliding fluid down the axis of darkness, to swarm like live things at the dead center of reality. Until they had arranged themselves, individually and in their hundreds, to form a vast simple portrait, stippled the ultimate monochrome, stars against night sky. Face of Miss Linda Lee. When he was able to look away, to lower his eyes, he found every other face in the street upraised, the strolling tourists becalmed with wonder.",Method and apparatus for generating a holographic display,0.36995232
"[7539, 7540, 7541, 7542]","One of my father’s Victorian awkwardnesses. The lock is mechanical and extremely complex.” “Chubb lock,” Molly said, her voice muffled by Maelcum’s shoulder, “and we got the fucking key, no fear.” “That chip of yours still working?” Case asked her.",Systems and methods for secure access to an electronic device,0.36386958
"[1512, 1513, 1514, 1515, 1516, 1517, 1518, 1519]","Found the ridged face of the power stud. And in the bloodlit dark behind his eyes, silver phosphenes boiling in from the edge of space, hypnagogic images jerking past like film compiled from random frames. Symbols, figures, faces, a blurred, fragmented mandala of visual information. Please, he prayed, now— A gray disk, the color of Chiba sky. Now— Disk beginning to rotate, faster, becoming a sphere of paler gray. Expanding— And flowed, flowered for him, fluid neon origami trick, the unfolding of his distance less home, his country, transparent 3D chessboard extending to infinity. Inner eye opening to the stepped scarlet pyramid of the Eastern Seaboard Fission Authority burning beyond the green cubes of Mitsubishi Bank of America, and high and very far away he saw the spiral arms of military systems, forever beyond his reach. And somewhere he was laughing, in a white-painted loft, distant fingers caressing the deck, tears of release streaking his face.",Apparatus and method for detecting a power stud in an electrical outlet,0.35964978
"[6519, 6520, 6521, 6522, 6523, 6524, 6525]","And then, his face pink with the pleasure of cocaine and meperidine, he swung the glass hard into her left lens implant, smashing vision into blood and light. Maelcum was prone against the cabin ceiling when Case removed the trodes. A nylon sling around his waist was fastened to the panels on either side with shock cords and gray rubber suction pads. He had his shirt off and was working on a central panel with a clumsy-looking zero-g wrench, the thing’s fat countersprings twanging as he removed another hexhead. Marcus Garvey was groaning and ticking with g-stress. “The Mute takin’ I an’ I dock,” the Zionite said, popping the hexhead into a mesh pouch at his waist. “Maelcum pilot th’ landin’, meantime need we tool f’ th’ job.”",Method and apparatus for repairing a damaged or defective lens implant in a patient's eye,0.35831496
"[2575, 2576, 2577, 2578, 2579]","Wood grated on stone or concrete. Ten meters down the alley, a wedge of yellow light fell across wet cobbles, widened. A figure stepped out and the door grated shut again, leaving the narrow place in darkness. Case shivered. “Now,” Terzibashjian said, and a brilliant beam of white light, directed from the rooftop of the building opposite the market, pinned the slender figure beside the ancient wooden door in a perfect circle.",Method and apparatus for illuminating a subject with a plurality of beams of light emanating from a plurality of light sources,0.352843
"[460, 461, 462, 463, 464]","He stepped out into the courtyard that served the place as some combination of lobby and lawn. Centered in the square carpet of green plastic turf, a Japanese teenager sat behind a C-shaped console, reading a textbook. The white fiberglass coffins were racked in a framework of industrial scaffolding. Six tiers of coffins, ten coffins on a side. Case nodded in the boy’s direction and limped across the plastic grass to the nearest ladder.",Method and apparatus for preparing a body for burial or cremation,0.35170752
"[5596, 5597, 5598, 5599, 5600, 5601, 5602, 5603, 5604, 5605]","She stood up, favoring her left leg, and watched the little drone reverse. It picked its methodical way back across its girder and into darkness. She turned and looked back at the service area. The man in the orange jumpsuit was sealing the front of a white vacuum rig. She watched him ring and seal the helmet, pick up his console, and step back through the gap in the construction boat’s hull. There was a rising whine of motors and the thing slid smoothly out of sight on a ten-meter circle of flooring that sank away into a harsh glare of arc lamps. The red drone waited patiently at the edge of the hole left by the elevator panel. Then she was off after the Braun, threading her way between a forest of welded steel struts. The Braun winked its LED steadily, beckoning her on. “How you doin’, Case?",Method and apparatus for cleaning debris from a surface of a body of water using an unmanned aerial vehicle (UAV),0.3500654
