range,content,summary,similarity
"[2442, 2443]","But the other man is . . . cold, callous, demanding, selfish--as harsh and cruel as a winter wind. That's the man shaped by the father.""","The other man is cold, callous, demanding, selfish--as harsh and cruel as a winter wind. That's the man shaped by the father.",0.9679054
"[17767, 17768, 17769, 17770, 17771, 17772, 17773, 17774, 17775, 17776, 17777]","= = = = = = Appendix II: The Religion of Dune Before the coming of Muad'Dib, the Fremen of Arrakis practiced a religion whose roots in the Maometh Saari are there for any scholar to see. Many have traced the extensive borrowings from other religions. The most common example is the Hymn to Water, a direct copy from the Orange Catholic Liturgical Manual, calling for rain clouds which Arrakis had never seen. But there are more profound points of accord between the Kitab al-Ibar of the Fremen and the teachings of Bible, Ilm, and Fiqh. Any comparison of the religious beliefs dominant in the Imperium up to the time of Muad'Dib must start with the major forces which shaped those beliefs: 1. The followers of the Fourteen Sages, whose Book was the Orange Catholic Bible, and whose views are expressed in the Commentaries and other literature produced by the Commission of Ecumenical Translators. (C.E.T.); 2. The Bene Gesserit, who privately denied they were a religious order, but who operated behind an almost impenetrable screen of ritual mysticism, and whose training, whose symbolism, organization, and internal teaching methods were almost wholly religious; 3. The agnostic ruling class (including the Guild) for whom religion was a kind of puppet show to amuse the populace and keep it docile, and who believed essentially that all phenomena -- even religious phenomena -- could be reduced to mechanical explanations; 4. The so-called Ancient Teachings -- including those preserved by the Zensunni Wanderers from the first, second, and third Islamic movements; the Navachristianity of Chusuk, the Buddislamic Variants of the types dominant at Lankiveil and Sikun, the Blend Books of the Mahayana Lankavatara, the Zen Hekiganshu of III Delta Pavonis, the Tawrah and Talmudic Zabur surviving on Salusa Secundus, the pervasive Obeah Ritual, the Muadh Quran with its pure Ilm and Fiqh preserved among the pundi rice farmers of Caladan, the Hindu outcroppings found all through the universe in little pockets of insulated pyons, and finally, the Butlerian Jihad. There is a fifth force which shaped religious belief, but its effect is so universal and profound that it deserves to stand alone. This is, of course, space travel -- and in any discussion of religion, it deserves to be written thus: SPACE TRAVEL! Mankind's movement through deep space placed a unique stamp on religion during the one hundred and ten centuries that preceded the Butlerian Jihad. To begin with, early space travel, although widespread, was largely unregulated, slow, and uncertain, and, before the Guild monopoly, was accomplished by a hodgepodge of methods. The first space experiences, poorly communicated and subject to extreme distortion, were a wild inducement to mystical speculation. Immediately, space gave a different flavor and sense to ideas of Creation.","The religion of Dune before the coming of Muad'Dib, the Fremen of Arrakis practiced a religion whose roots in the Maometh Saari are there for any scholar to see. Many have traced the origins",0.92765385
"[5286, 5287, 5288, 5289]","A soak is a place where water seeps to the surface or near enough to the surface to be found by digging according to certain signs. A sip-well is a form of soak where a person draws water through a straw . . . so it is said."" There's deception in his words, Jessica thought.",Apparatus and method for locating a soak or a sip-well,0.8164425
"[17929, 17930, 17931, 17932, 17933, 17934, 17935, 17936, 17937, 17938, 17939, 17940, 17941, 17942, 17943, 17944]","= = = = = = Appendix III: Report on Bene Gesserit Motives and Purposes Here follows an excerpt from the Summa prepared by her own agents at the request of the Lady Jessica immediately after the Arrakis Affair. The candor of this report amplifies its value far beyond the ordinary. Because the Bene Gesserit operated for centuries behind the blind of a semimystic school while carrying on their selective breeding program among humans, we tend to award them with more status than they appear to deserve. Analysis of their ""trial of fact"" on the Arrakis Affair betrays the school's profound ignorance of its own role. It may be argued that the Bene Gesserit could examine only such facts as were available to them and had no direct access to the person of the Prophet Muad'Dib. But the school had surmounted greater obstacles and its error here goes deeper. The Bene Gesserit program had as its target the breeding of a person they labeled ""Kwisatz Haderach,"" a term signifying ""one who can be many places at once."" In simpler terms, what they sought was a human with mental powers permitting him to understand and use higher order dimensions. They were breeding for a super-Mentat, a human computer with some of the prescient abilities found in Guild navigators. Now, attend these facts carefully: Muad'Dib, born Paul Atreides, was the son of the Duke Leto, a man whose bloodline had been watched carefully for more than a thousand years. The Prophet's mother, Lady Jessica, was a natural daughter of the Baron Vladimir Harkonnen and carried gene-markers whose supreme importance to the breeding program was known for almost two thousand years. She was a Bene Gesserit bred and trained, and should have been a willing tool of the project. The Lady Jessica was ordered to produce an Atreides daughter. The plan was to inbreed this daughter with Feyd-Rautha Harkonnen, a nephew of the Baron Vladimir, with the high probability of a Kwisatz Haderach from that union.",Bene Gesserit motives and purposes,0.7677263
"[14154, 14155]","""It's the way she speaks of things beyond her years and of things no child her age could know -- things of the past."" ""How could she know what a child looked like on Bela Tegeuse?"" Harah demanded.",The Way She Speaks of Things Beyond Her Years and of Things No Child Her Age Could Know--Things of the Past,0.7094573
"[1444, 1445, 1446, 1447, 1448]","Not a filmbook, but actually printed on filament paper. It has its own magnifier and electrostatic charge system."" He picked it up, demonstrated. ""The book is held closed by the charge, which forces against spring-locked covers. You press the edge -- thus, and the pages you've selected repel each other and the book opens.""",Printed filament paper book with built-in magnifier and electrostatic charge system,0.7060783
"[16857, 16858, 16859, 16860, 16861]",". . . There should be a word-tension directly opposite to adab, the demanding memory, she thought. There should be a word for memories that deny themselves.",Word for memories that deny themselves,0.7025959
"[2069, 2070]","The bull's head must go on the wall opposite the painting."" Mapes crossed to the bull's head.",Method and apparatus for mounting a bull's head on a wall opposite a painting,0.6997928
"[1758, 1759, 1760, 1761, 1762]","Beside the painting lay a black bull's head mounted on a polished board. The head was a dark island in a sea of wadded paper. Its plaque lay flat on the floor, and the bull's shiny muzzle pointed at the ceiling as though the beast were ready to bellow a challenge into this echoing room. Jessica wondered what compulsion had brought her to uncover those two things first -- the head and the painting. She knew there was something symbolic in the action.",Bull's head and painting,0.6559847
"[10200, 10201, 10202, 10203, 10204, 10205, 10206]","= = = = = = Prophecy and prescience--How can they be put to the test in the face of the unanswered questions? Consider: How much is actual prediction of the ""waveform"" (as Muad'Dib referred to his vision-image) and how much is the prophet shaping the future to fit the prophecy? What of the harmonics inherent in the act of prophecy? Does the prophet see the future or does he see a line of weakness, a fault or cleavage that he may shatter with words or decisions as a diamond-cutter shatters his gem with a blow of a knife? -""Private Reflections on Muad'Dib"" by the Princess Irulan ""Get their water,"" the man calling out of the night had said.","Systems, methods, and non-transitory computer-readable storage media for testing prophecy and prescience in the face of the unanswered questions",0.63939416
