range,content,summary,similarity
"[6896, 6897]",She spun it round her fingers Lifted it from the floor Knotted it into lace Erased it. The lace made a gift for him who had imprisoned her.,"The lace made a gift for him who had imprisoned her, or, she spun it round her fingers, lifted it from the floor, knotted it into lace, erased it",0.93281037
"[75, 76]",First magazine with electrostun rounds. Second magazine with Cripplers.,Firearm magazine with electrostun rounds and crippler rounds,0.8658081
"[429, 430, 431, 432, 433]","The pressures of fatherhood! One day Bud targeted a particularly well-dressed family because of their fancy clothes. The man was wearing a business suit and the woman a nice clean dress, and they were carrying a baby all dressed up in a white lacy thing, and they had hired a porter to help them haul their luggage away from the Aerodrome. The porter was a white guy who vaguely reminded Bud of himself, and he was incensed to see him acting as a pack animal for blacks. So as soon as these people got away from the bustle of the Aerodrome and into a more secluded neighborhood, Bud approached them, swaggering in the way he'd practiced in the mirror, occasionally pushing his Sights up on his nose with one index finger.","One day Bud targeted a particularly well-dressed family because of their fancy clothes. The man was wearing a business suit and the woman a nice clean dress, and they were carrying a baby all dressed",0.7910427
"[4859, 4860]","The woman was looking at a totem pole dominated by a representation of an orca, head down and tail up, dorsal fin projecting horizontally out of the pole and evidently carved from a separate piece of wood. The orca's blowhole had a human face carved around it.",Totem pole with human face carved around orca's blowhole,0.7752832
"[617, 618, 619, 620]","The matter compiler in the corner of the kitchen came on automatically and began to create a pedomotive for Hackworth to take to work. Before the last bell had died away, the rhythmic whack-whack-whack of a big vacuum pump could be heard. The engineers of the Royal Vacuum Utility were already at work expanding the eutactic environment. The pumps sounded big, probably Intrepids, and Hackworth reckoned that they must be preparing to raise a new structure, possibly a wing of the University.","The matter compiler in the corner of the kitchen came on automatically and began to create a pedomotive for Hackworth to take to work. Before the last bell had died away, the rhythmic whack-whack-whack",0.77433187
"[1301, 1302, 1303, 1304, 1305, 1306, 1307, 1308]","Hackworth crosses the Causeway into Shanghai; ruminations. The Causeway joining New Chusan and the Pudong Economic Zone was Atlantis/Shanghai's whole reason for existence, being in fact a titanic Feed restrained by mountainous thrust bearings at each end. From the standpoint of mass&cash flow, the physical territory of New Chusan itself, a lung of smart coral respiring in the ocean, was nothing more or less than the fountainhead of China's consumer economy, its only function to spew megatons of nanostuff into the Middle Kingdom's ever-ramifying Feed network, reaching millions of new peasants every month. For most of its length the Causeway skimmed the high tide level, but the middle kilometer arched to let ships through; not that anyone really needed ships anymore, but a few recalcitrant swabbies and some creative tour operators were still plying the Yangtze estuary in junks, which looked precious underneath the catenary arch of the big Feed, strumming the ancient-meets-modern chord for adherents of the National Geographic worldview. As Hackworth reached the apogee, he could see similar Causeways to port and starboard, linking the outskirts of Shanghai with other artificial islands. Nippon Nano looked Fujiesque, a belt of office buildings around the waterline, houses above that, the higher the better, then a belt of golf courses, the whole top third reserved for gardens, bamboo groves, and other forms of micromanaged Nature. In the other direction was a little bit of Hindustan. The geotecture of their island owed less to the Mogul period than to the Soviet, no effort being made to shroud its industrial heart in fractal artifice.",Crossing the Causeway: hackworth crosses the Causeway into Shanghai; ruminations,0.7640066
"[1802, 1803, 1804, 1805, 1806, 1807, 1808]","“What's a raven?” Nell said. The illustration was a colorful painting of the island seen from up in the sky. The island rotated downward and out of the picture, becoming a view toward the ocean horizon. In the middle was a black dot. The picture zoomed in on the black dot, and it turned out to be a bird. Big letters appeared beneath. “R A V E N,” the book said.",Island with a raven,0.7438234
"[5336, 5337, 5338]","“First of all, we needed to enable interactions between more than one entity. What do I mean by entity? Well, think about the ractives.",Systems and methods for enabling interactions between more than one entity,0.73232365
"[7299, 7300, 7301, 7302, 7303, 7304, 7305, 7306, 7307, 7308]","When the Overseas Chinese came back to the homeland to build their monument to enterprise, they had done it here, and they had done it bigger and brighter, and unquestionably redder, than any of those other cities. The nanotechnological trick of making sturdy structures that were lighter than air had come along just at the right time, as all of the last paddies were being replaced by immense concrete foundations, and a canopy of new construction had bloomed above the first-generation undergrowth of seventy- and eighty-story buildings. This new architecture was naturally large and ellipsoidal, typically consisting of a huge neon-rimmed ball impaled on a spike, so Pudong was bigger and denser a thousand feet above the ground than it was at street level. Seen from the apex of the big arch in the Causeway through several miles of bad air, the view was curiously flattened and faded, as if the whole scene had been woven into a fabulously complex brocade that had been allowed to gather dust for several decades and then been hung in front of Nell, about ten feet away. The sun had gone down not long before and the sky was still a dim orange fading up into purple, divided into irregular segments by half a dozen pillars of smoke spurting straight up out of the horizon and toward the dark polluted vault of the heavens, many miles off to the west, somewhere out in the silk and tea districts between Shanghai and Suzhou. As she power-skated down the western slope of the arch and crossed the coastline of China, the thunderhead of neon reached above her head, spread out to embrace her, developed into three dimensions—and she was still several miles away from it. The coastal neighborhoods consisted of block after block of reinforced-concrete apartment buildings, four to five stories high, looking older than the Great Wall though their real age could not have exceeded a few decades, and decorated on the ends facing the street with large cartoonish billboards, some mediatronic, most just painted on. For the first kilometer or so, most of these were targeted at businessmen just coming in from New Chusan, and in particular from the New Atlantis Clave. Glancing at these billboards as she went by them, Nell concluded that visitors from New Atlantis played an important role in supporting casinos and bordellos, both the old-fashioned variety and the newer scripted-fantasy emporia, where you could be the star in a little play you wrote yourself. Nell slowed down to examine several of these, memorizing the addresses of ones with especially new or well-executed signs.","Overseas chinese return to the homeland to build their monument to enterprise, they do it here, and they do it bigger and brighter, and unquestionably redder, than any of those other cities",0.7184255
"[8753, 8754, 8755, 8756, 8757, 8758, 8759, 8760]","“What was your purpose in coming here?” “To obtain the twelfth key.” “Anything else?” “To learn about Wizard 0.2.” “Ah.” “To discover whether it was, in fact, a Turing machine.” “Well, you have your answer. Wizard 0.2 is most certainly a Turing machine—the most powerful ever built.”",Systems and methods for using a wizard 0.2 as a Turing machine,0.70805395
